Slot,Frame,Texture,Delay,U0,V0,U1,V1,U2,V2,U3,V3
0,0,11,0.11,0.001999996602535248,0.001999974250793457,0.24799999594688416,0.001999974250793457,0.24799999594688416,0.24800002574920654,0.0020000000949949026,0.24800002574920654
0,1,11,0.11,0.25200000405311584,0.001999974250793457,0.49799999594688416,0.001999974250793457,0.49799999594688416,0.24800002574920654,0.25200000405311584,0.24800002574920654
0,2,11,0.11,0.5019999742507935,0.001999974250793457,0.7480000257492065,0.001999974250793457,0.7480000257492065,0.24800002574920654,0.5019999742507935,0.24800002574920654
0,3,11,0.11,0.7519999742507935,0.001999974250793457,0.9980000257492065,0.001999974250793457,0.9980000257492065,0.24800002574920654,0.7519999742507935,0.24800002574920654
0,4,11,0.11,0.001999996602535248,0.25199997425079346,0.24799999594688416,0.25199997425079346,0.24799999594688416,0.49800002574920654,0.001999996602535248,0.49800002574920654
0,5,11,0.11,0.25200000405311584,0.25199997425079346,0.49799999594688416,0.25199997425079346,0.49799999594688416,0.49800002574920654,0.25200000405311584,0.49800002574920654
0,6,11,0.11,0.5019999742507935,0.25199997425079346,0.7480000257492065,0.25199997425079346,0.7480000257492065,0.49800002574920654,0.5019999742507935,0.49800002574920654
0,7,11,0.11,0.7519999742507935,0.25199997425079346,0.9980000257492065,0.25199997425079346,0.9980000257492065,0.49800002574920654,0.7519999742507935,0.49800002574920654
0,8,11,0.11,0.001999996602535248,0.5020000040531158,0.24799999594688416,0.5020000040531158,0.24799999594688416,0.7479999959468842,0.001999996602535248,0.7479999959468842
0,9,11,0.11,0.25200000405311584,0.5020000040531158,0.49799999594688416,0.5020000040531158,0.49799999594688416,0.7479999959468842,0.25200000405311584,0.7479999959468842
0,10,11,0.11,0.5019999742507935,0.5020000040531158,0.7480000257492065,0.5020000040531158,0.7480000257492065,0.7479999959468842,0.5019999742507935,0.7479999959468842
0,11,11,0.11,0.7519999742507935,0.5020000040531158,0.9980000257492065,0.5020000040531158,0.9980000257492065,0.7479999959468842,0.7519999742507935,0.7479999959468842
0,12,11,0.11,0.001999996602535248,0.7520000040531158,0.24799999594688416,0.7520000040531158,0.24799999594688416,0.9980000033974648,0.001999996602535248,0.9980000033974648
0,13,11,0.11,0.25200000405311584,0.7520000040531158,0.49799999594688416,0.7520000040531158,0.49799999594688416,0.9980000033974648,0.25200000405311584,0.9980000033974648
0,14,11,0.11,0.5019999742507935,0.7520000040531158,0.7480000257492065,0.7520000040531158,0.7480000257492065,0.9980000033974648,0.5019999742507935,0.9980000033974648
0,15,11,0.11,0.7519999742507935,0.7520000040531158,0.9980000257492065,0.7520000040531158,0.9980000257492065,0.9980000033974648,0.7519999742507935,0.9980000033974648
