Slot,Frame,Texture,Delay,U0,V0,U1,V1,U2,V2,U3,V3
0,0,9,0.019999999552965164,0.5032228231430054,0.24731439352035522,0.5032228231430054,0.0020799636840820312,0.7484573125839233,0.0020799636840820312,0.7484573125839233,0.24731439352035522
0,1,9,0.019999999552965164,0.5074352025985718,0.24731439352035522,0.5074352025985718,0.0020799636840820312,0.7526696920394897,0.0020799636840820312,0.7526696920394897,0.24731439352035522
0,2,9,0.019999999552965164,0.5116475224494934,0.24731439352035522,0.5116475224494934,0.0020799636840820312,0.7568820118904114,0.0020799636840820312,0.7568820118904114,0.24731439352035522
0,3,9,0.019999999552965164,0.5158599019050598,0.24731439352035522,0.5158599019050598,0.0020799636840820312,0.7610943913459778,0.0020799636840820312,0.7610943913459778,0.24731439352035522
0,4,9,0.019999999552965164,0.5200722813606262,0.24731439352035522,0.5200722813606262,0.0020799636840820312,0.7653067708015442,0.0020799636840820312,0.7653067708015442,0.24731439352035522
0,5,9,0.019999999552965164,0.5242846608161926,0.24731439352035522,0.5242846608161926,0.0020799636840820312,0.7695191502571106,0.0020799636840820312,0.7695191502571106,0.24731439352035522
0,6,9,0.019999999552965164,0.5284969806671143,0.24731439352035522,0.5284969806671143,0.0020799636840820312,0.7737314701080322,0.0020799636840820312,0.7737314701080322,0.24731439352035522
0,7,9,0.019999999552965164,0.5327093601226807,0.24731439352035522,0.5327093601226807,0.0020799636840820312,0.7779438495635986,0.0020799636840820312,0.7779438495635986,0.24731439352035522
0,8,9,0.019999999552965164,0.5369217395782471,0.24731439352035522,0.5369217395782471,0.0020799636840820312,0.782156229019165,0.0020799636840820312,0.782156229019165,0.24731439352035522
0,9,9,0.019999999552965164,0.5411340594291687,0.24731439352035522,0.5411340594291687,0.0020799636840820312,0.7863685488700867,0.0020799636840820312,0.7863685488700867,0.24731439352035522
0,10,9,0.019999999552965164,0.5453464388847351,0.24731439352035522,0.5453464388847351,0.0020799636840820312,0.7905809283256531,0.0020799636840820312,0.7905809283256531,0.24731439352035522
0,11,9,0.019999999552965164,0.5495588183403015,0.24731439352035522,0.5495588183403015,0.0020799636840820312,0.7947933077812195,0.0020799636840820312,0.7947933077812195,0.24731439352035522
0,12,9,0.019999999552965164,0.5537711977958679,0.24731439352035522,0.5537711977958679,0.0020799636840820312,0.7990056872367859,0.0020799636840820312,0.7990056872367859,0.24731439352035522
0,13,9,0.019999999552965164,0.5579835176467896,0.24731439352035522,0.5579835176467896,0.0020799636840820312,0.8032180070877075,0.0020799636840820312,0.8032180070877075,0.24731439352035522
0,14,9,0.019999999552965164,0.562195897102356,0.24731439352035522,0.562195897102356,0.0020799636840820312,0.8074303865432739,0.0020799636840820312,0.8074303865432739,0.24731439352035522
0,15,9,0.019999999552965164,0.5664082765579224,0.24731439352035522,0.5664082765579224,0.0020799636840820312,0.8116427659988403,0.0020799636840820312,0.8116427659988403,0.24731439352035522
0,16,9,0.019999999552965164,0.570620596408844,0.24731439352035522,0.570620596408844,0.0020799636840820312,0.815855085849762,0.0020799636840820312,0.815855085849762,0.24731439352035522
0,17,9,0.019999999552965164,0.5748329758644104,0.24731439352035522,0.5748329758644104,0.0020799636840820312,0.8200674653053284,0.0020799636840820312,0.8200674653053284,0.24731439352035522
0,18,9,0.019999999552965164,0.5790453553199768,0.24731439352035522,0.5790453553199768,0.0020799636840820312,0.8242798447608948,0.0020799636840820312,0.8242798447608948,0.24731439352035522
0,19,9,0.019999999552965164,0.5832577347755432,0.24731439352035522,0.5832577347755432,0.0020799636840820312,0.8284922242164612,0.0020799636840820312,0.8284922242164612,0.24731439352035522
0,20,9,0.019999999552965164,0.5874700546264648,0.24731439352035522,0.5874700546264648,0.0020799636840820312,0.8327045440673828,0.0020799636840820312,0.8327045440673828,0.24731439352035522
0,21,9,0.019999999552965164,0.5916824340820312,0.24731439352035522,0.5916824340820312,0.0020799636840820312,0.8369169235229492,0.0020799636840820312,0.8369169235229492,0.24731439352035522
0,22,9,0.019999999552965164,0.5958948135375977,0.24731439352035522,0.5958948135375977,0.0020799636840820312,0.8411293029785156,0.0020799636840820312,0.8411293029785156,0.24731439352035522
0,23,9,0.019999999552965164,0.6001071333885193,0.24731439352035522,0.6001071333885193,0.0020799636840820312,0.8453416228294373,0.0020799636840820312,0.8453416228294373,0.24731439352035522
0,24,9,0.019999999552965164,0.6043195128440857,0.24731439352035522,0.6043195128440857,0.0020799636840820312,0.8495540022850037,0.0020799636840820312,0.8495540022850037,0.24731439352035522
